HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
98,72,1.14877716e-04,5.24328207e-05,5.03445517e-05,1194
98,73,1.37333200e-05,5.14088933e-05,5.20567992e-05,2486
98,74,8.24944073e-05,5.28682103e-05,4.96707617e-05,792
98,75,9.34277705e-05,1.25171919e-05,4.94283631e-05,27
98,76,9.77437230e-05,7.48051898e-05,5.07465338e-05,928
98,77,6.96186762e-05,6.15368554e-05,5.28649398e-05,743
98,78,3.54852345e-05,9.02765823e-05,5.29664503e-05,817
98,79,1.32440064e-05,1.04154096e-04,5.27594602e-05,356
98,80,3.15814577e-05,2.68274671e-05,5.28058481e-05,592
98,81,1.24760787e-04,8.41427100e-05,5.30020407e-05,262
98,82,6.53160459e-05,8.89371950e-05,5.33487400e-05,462
98,83,1.82104013e-05,9.90486078e-05,5.32738741e-05,1373
99,1,2.76175269e-05,2.72793532e-05,3.18002606e-07,402
99,2,2.48950601e-05,8.52055600e-05,5.40956876e-07,596
99,3,1.02775892e-04,1.10943038e-04,6.22312086e-07,411
99,4,6.26426699e-05,1.11911744e-04,0.00000000e+00,30
99,5,2.01428793e-05,1.14695380e-04,9.14831276e-07,1251
99,6,3.16787264e-05,1.24230239e-04,2.43100374e-07,214
99,7,5.42668749e-05,9.82881684e-05,2.33221613e-06,768
99,8,9.55842261e-05,1.12605259e-04,2.17757361e-06,312
99,9,5.05726530e-05,4.28278690e-05,5.47479431e-06,925
99,10,8.73673343e-05,2.82551428e-05,5.94797439e-06,1293
99,11,1.08432396e-04,4.49448162e-05,6.09264134e-06,96
99,12,1.35882801e-04,2.30020287e-05,9.92726928e-06,2202
99,13,2.35664975e-05,5.64675747e-06,7.85873453e-06,690
99,14,1.09192777e-04,1.08406726e-04,8.29750479e-06,674
99,15,1.05682964e-04,1.21738994e-04,8.90624051e-06,219
99,16,1.79465005e-05,2.46516720e-05,1.13191891e-05,1540
99,17,5.74696824e-05,1.06593929e-04,1.01578826e-05,622
99,18,1.05111991e-04,1.22103622e-04,1.47138553e-05,1032
